Taşınmaz Tipi,Açıklama,Oda Sayısı,Metre Karesi,Yaş,Kat,Fiyat,Adres,İlan Tarihi
Daire,kale yapı'dan yatırıma uygun anahtar teslim sıfır 2+1 daireler!!,2 + 1,110 m,Sıfır Bina,2. Kat,"339,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ekim 2020
Daire,düden blokların da büyük balkonlu 1+1 tadilatlı daire,1 + 1,94 m,17 Yaşında,17. Kat,"560,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",21 Eylül 2020
Daire,beylikdüzü rota'dan bahçeşehir 2 kısımda 2+1 satılık daire,2 + 1,100 m,2 Yaşında,3. Kat,"299,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",9 Ekim 2020
Daire,rota'dan bahçeşehir 2 kısımda taşınmaya hazır satılık 3+1 daire,3 + 1,145 m,Sıfır Bina,2. Kat,"399,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ekim 2020
Daire,beylikdüzü rota'dan bahçeşehir butik sitede 2+1 satılık daire...,2 + 1,105 m,Sıfır Bina,3. Kat,"299,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ekim 2020
Daire,rota'dan bahçeşehir'de merkezi lokasyon siteiçi satılık 2+1daire,2 + 1,100 m,Sıfır Bina,4. Kat,"389,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ekim 2020
Daire,bahçeşehir 2. kısımda havuzlu sitede 1+1 lux satılık daire,1 + 1,75 m,Sıfır Bina,8. Kat,"139,500","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ekim 2020
Residence,başakşehir ayazma konutları satılık 4+1 kısa konut güney cephe,4 + 1,210 m,4 Yaşında,2. Kat,"2,000,000","Başakşehir, İkitelli OSB Mahallesi",10 Ekim 2020
Daire,emlak konut ayazma evleri kulede önü açık sabit taksitli 3+1,3 + 1,172 m,2 Yaşında,16. Kat,"850,000","Başakşehir, Ziya Gökalp Mahallesi",10 Ekim 2020
Residence,beylikdüzü değer'den finansmana özel siteiçi 60 ay vade seçeneği,2 + 1,110 m,Sıfır Bina,11. Kat,"219,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ekim 2020
Daire,3+1 merkezi konumda lüks daireler kale yapı'da!!!,3 + 1,145 m,Sıfır Bina,2. Kat,"459,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ekim 2020
